line_number,raw_line,timestamp_raw,parsed_datetime,host,process,pid,event_type,attack_stage,username,source_ip,source_port,command,is_privileged_account,is_suspicious_source,parse_status
1,Jul 06 00:01:27 backup01 sshd[7878]: Failed password for arun from 198.51.100.24 port 47182 ssh2,Jul 06 00:01:27,2026-07-06 00:01:27,backup01,sshd,7878,failed_password,initial_access_attempt,arun,198.51.100.24,47182,,False,True,parsed
2,Jul 06 00:04:24 backup01 sshd[6744]: Accepted password for ops from 198.51.100.26 port 33412 ssh2,Jul 06 00:04:24,2026-07-06 00:04:24,backup01,sshd,6744,accepted_password,possible_successful_access,ops,198.51.100.26,33412,,True,True,parsed
3,Jul 06 00:04:24 backup01 sshd[1558]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 06 00:04:24,2026-07-06 00:04:24,backup01,sshd,1558,session_opened,session_activity,ops,,,,True,False,parsed
4,Jul 06 00:12:29 backup01 sshd[5967]: Connection closed by authenticating user j.maguire 192.0.2.31 port 45930 [preauth],Jul 06 00:12:29,2026-07-06 00:12:29,backup01,sshd,5967,preauth_closed,preauth_interruption,j.maguire,192.0.2.31,45930,,False,True,parsed
5,Jul 06 00:14:13 backup01 sshd[5998]: error: maximum authentication attempts exceeded for ops from 198.51.100.24 port 51144 ssh2 [preauth],Jul 06 00:14:13,2026-07-06 00:14:13,backup01,sshd,5998,max_auth_attempts,brute_force_or_password_spraying,ops,198.51.100.24,51144,,True,True,parsed
6,Jul 06 00:22:09 backup01 sshd[3178]: Failed password for backup from 192.0.2.10 port 62252 ssh2,Jul 06 00:22:09,2026-07-06 00:22:09,backup01,sshd,3178,failed_password,initial_access_attempt,backup,192.0.2.10,62252,,True,True,parsed
7,Jul 06 00:24:58 backup01 sshd[1801]: Failed password for backup from 198.51.100.23 port 37323 ssh2,Jul 06 00:24:58,2026-07-06 00:24:58,backup01,sshd,1801,failed_password,initial_access_attempt,backup,198.51.100.23,37323,,True,True,parsed
8,Jul 06 00:25:23 backup01 sshd[3896]: Invalid user postgres from 192.0.2.12 port 57881,Jul 06 00:25:23,2026-07-06 00:25:23,backup01,sshd,3896,invalid_user,account_probing,postgres,192.0.2.12,57881,,False,True,parsed
9,Jul 06 00:38:13 backup01 sshd[9631]: Failed password for ops from 198.51.100.24 port 39230 ssh2,Jul 06 00:38:13,2026-07-06 00:38:13,backup01,sshd,9631,failed_password,initial_access_attempt,ops,198.51.100.24,39230,,True,True,parsed
10,Jul 06 00:44:35 backup01 sshd[6454]: Invalid user oracle from 192.0.2.31 port 41718,Jul 06 00:44:35,2026-07-06 00:44:35,backup01,sshd,6454,invalid_user,account_probing,oracle,192.0.2.31,41718,,False,True,parsed
11,Jul 06 00:49:41 backup01 sshd[5895]: Accepted password for backup from 192.0.2.12 port 38101 ssh2,Jul 06 00:49:41,2026-07-06 00:49:41,backup01,sshd,5895,accepted_password,possible_successful_access,backup,192.0.2.12,38101,,True,True,parsed
12,Jul 06 00:49:51 backup01 sshd[5814]: Accepted password for backup from 192.0.2.31 port 60641 ssh2,Jul 06 00:49:51,2026-07-06 00:49:51,backup01,sshd,5814,accepted_password,possible_successful_access,backup,192.0.2.31,60641,,True,True,parsed
13,Jul 06 00:04:24 backup01 sshd[2513]: pam_unix(sshd:session): session closed for user ops,Jul 06 00:04:24,2026-07-06 00:04:24,backup01,sshd,2513,session_closed,session_activity,ops,,,,True,False,parsed
14,Jul 06 01:20:38 backup01 sshd[5550]: Accepted password for backup from 198.51.100.24 port 51692 ssh2,Jul 06 01:20:38,2026-07-06 01:20:38,backup01,sshd,5550,accepted_password,possible_successful_access,backup,198.51.100.24,51692,,True,True,parsed
