sudo_time,username,command,previous_login_time,minutes_after_login,previous_login_source_ip,sudo_raw_line,severity
2026-07-06 01:57:56,ops,/usr/bin/systemctl restart apache2,2026-07-06 01:57:56,0.0,192.0.2.11,Jul 06 01:57:56 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-06 08:47:52,ops,/usr/bin/systemctl status ssh,2026-07-06 08:47:52,0.0,192.0.2.20,Jul 06 08:47:52 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-06 09:06:33,backup,/usr/bin/apt update,2026-07-06 09:06:33,0.0,198.51.100.25,Jul 06 09:06:33 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-06 09:53:25,ops,/usr/bin/du -sh /var/log,2026-07-06 09:53:25,0.0,192.0.2.11,Jul 06 09:53:25 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-06 10:39:13,ops,/usr/bin/du -sh /var/log,2026-07-06 10:39:13,0.0,192.0.2.31,Jul 06 10:39:13 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-06 10:48:56,backup,/usr/bin/du -sh /var/log,2026-07-06 10:48:56,0.0,192.0.2.40,Jul 06 10:48:56 backup01 sudo:    backup : TTY=pts/1 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-06 11:41:30,backup,/usr/bin/systemctl status ssh,2026-07-06 11:41:30,0.0,192.0.2.20,Jul 06 11:41:30 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-06 11:50:04,backup,/usr/bin/journalctl -n 50,2026-07-06 11:50:04,0.0,198.51.100.24,Jul 06 11:50:04 backup01 sudo:    backup : TTY=pts/1 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-06 13:56:02,ops,/usr/bin/systemctl restart apache2,2026-07-06 13:56:02,0.0,198.51.100.24,Jul 06 13:56:02 backup01 sudo:    ops : TTY=pts/2 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-06 14:11:38,backup,/usr/bin/apt update,2026-07-06 14:11:38,0.0,192.0.2.40,Jul 06 14:11:38 backup01 sudo:    backup : TTY=pts/0 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-06 14:46:06,ops,/usr/bin/systemctl restart apache2,2026-07-06 14:46:06,0.0,192.0.2.40,Jul 06 14:46:06 backup01 sudo:    ops : TTY=pts/1 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2,high
2026-07-06 14:49:36,ops,/usr/bin/journalctl -n 50,2026-07-06 14:49:36,0.0,192.0.2.30,Jul 06 14:49:36 backup01 sudo:    ops : TTY=pts/2 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-06 15:04:13,backup,/usr/bin/apt update,2026-07-06 15:04:13,0.0,198.51.100.25,Jul 06 15:04:13 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,high
2026-07-06 16:27:17,backup,/usr/bin/du -sh /var/log,2026-07-06 16:27:17,0.0,192.0.2.20,Jul 06 16:27:17 backup01 sudo:    backup : TTY=pts/2 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-06 17:19:57,ops,/usr/bin/du -sh /var/log,2026-07-06 17:19:57,0.0,192.0.2.12,Jul 06 17:19:57 backup01 sudo:    ops : TTY=pts/1 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-06 17:44:29,ops,/usr/bin/du -sh /var/log,2026-07-06 17:44:29,0.0,198.51.100.26,Jul 06 17:44:29 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-06 18:54:12,backup,/usr/bin/du -sh /var/log,2026-07-06 18:54:12,0.0,192.0.2.20,Jul 06 18:54:12 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-06 22:12:43,ops,/usr/bin/journalctl -n 50,2026-07-06 22:12:43,0.0,198.51.100.25,Jul 06 22:12:43 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,high
2026-07-06 22:28:51,ops,/usr/bin/systemctl status ssh,2026-07-06 22:28:51,0.0,198.51.100.24,Jul 06 22:28:51 backup01 sudo:    ops : TTY=pts/1 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
2026-07-07 00:38:06,ops,/usr/bin/du -sh /var/log,2026-07-07 00:38:06,0.0,192.0.2.10,Jul 07 00:38:06 backup01 sudo:    ops : TTY=pts/2 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,high
2026-07-07 06:08:23,ops,/usr/bin/systemctl status ssh,2026-07-07 06:08:23,0.0,192.0.2.11,Jul 07 06:08:23 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,high
