line_number,previous_line_number,previous_datetime,current_datetime,delta_seconds,current_raw_line,previous_raw_line
13,12,2026-07-06 00:49:51,2026-07-06 00:04:24,-2727,Jul 06 00:04:24 backup01 sshd[2513]: pam_unix(sshd:session): session closed for user ops,Jul 06 00:49:51 backup01 sshd[5814]: Accepted password for backup from 192.0.2.31 port 60641 ssh2
26,25,2026-07-06 01:44:47,2026-07-06 01:22:52,-1315,Jul 06 01:22:52 backup01 sshd[9292]: pam_unix(sshd:session): session closed for user ops,Jul 06 01:44:47 backup01 sshd[8047]: Accepted password for ops from 192.0.2.40 port 41246 ssh2
38,37,2026-07-06 02:06:38,2026-07-06 01:57:56,-522,Jul 06 01:57:56 backup01 sshd[2422]: pam_unix(sshd:session): session closed for user ops,Jul 06 02:06:38 backup01 sshd[2462]: Connection closed by authenticating user j.maguire 192.0.2.12 port 55574 [preauth]
41,40,2026-07-06 02:19:09,2026-07-06 01:21:46,-3443,Jul 06 01:21:46 backup01 sshd[1761]: pam_unix(sshd:session): session closed for user backup,Jul 06 02:19:09 backup01 sshd[6924]: Connection closed by authenticating user j.singer 192.0.2.21 port 32887 [preauth]
63,62,2026-07-06 03:42:51,2026-07-06 02:21:14,-4897,Jul 06 02:21:14 backup01 sshd[5452]: pam_unix(sshd:session): session closed for user arun,Jul 06 03:42:51 backup01 sshd[7206]: Failed password for j.singer from 192.0.2.31 port 60064 ssh2
68,67,2026-07-06 03:56:34,2026-07-06 03:53:32,-182,Jul 06 03:53:32 backup01 sshd[8451]: pam_unix(sshd:session): session closed for user ops,Jul 06 03:56:34 backup01 sshd[3137]: error: maximum authentication attempts exceeded for ops from 198.51.100.24 port 54065 ssh2 [preauth]
69,68,2026-07-06 03:53:32,2026-07-06 03:40:05,-807,Jul 06 03:40:05 backup01 sshd[5854]: pam_unix(sshd:session): session closed for user ops,Jul 06 03:53:32 backup01 sshd[8451]: pam_unix(sshd:session): session closed for user ops
70,69,2026-07-06 03:40:05,2026-07-06 02:56:33,-2612,Jul 06 02:56:33 backup01 sshd[7222]: pam_unix(sshd:session): session closed for user ops,Jul 06 03:40:05 backup01 sshd[5854]: pam_unix(sshd:session): session closed for user ops
85,84,2026-07-06 04:53:00,2026-07-06 04:26:19,-1601,Jul 06 04:26:19 backup01 sshd[2830]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 04:53:00 backup01 sudo:    j.maguire : TTY=pts/4 ; PWD=/home/j.maguire ; USER=root ; COMMAND=/usr/bin/journalctl -n 50
88,87,2026-07-06 05:09:01,2026-07-06 04:53:00,-961,Jul 06 04:53:00 backup01 sshd[8664]: pam_unix(sshd:session): session closed for user j.maguire,Jul 06 05:09:01 backup01 sshd[3892]: Accepted password for ops from 192.0.2.12 port 48028 ssh2
94,93,2026-07-06 05:46:16,2026-07-06 04:33:27,-4369,Jul 06 04:33:27 backup01 sshd[8789]: pam_unix(sshd:session): session closed for user ops,Jul 06 05:46:16 backup01 sshd[2193]: pam_unix(sshd:session): session opened for user backup by (uid=0)
111,110,2026-07-06 06:51:27,2026-07-06 05:46:16,-3911,Jul 06 05:46:16 backup01 sshd[2082]: pam_unix(sshd:session): session closed for user backup,Jul 06 06:51:27 backup01 sshd[5319]: pam_unix(sshd:session): session opened for user backup by (uid=0)
114,113,2026-07-06 06:53:48,2026-07-06 06:51:27,-141,Jul 06 06:51:27 backup01 sshd[5305]: pam_unix(sshd:session): session closed for user backup,Jul 06 06:53:48 backup01 sshd[6506]: pam_unix(sshd:session): session opened for user arun by (uid=0)
122,121,2026-07-06 07:09:25,2026-07-06 06:53:48,-937,Jul 06 06:53:48 backup01 sshd[3071]: pam_unix(sshd:session): session closed for user arun,Jul 06 07:09:25 backup01 sshd[3491]: pam_unix(sshd:session): session opened for user ops by (uid=0)
124,123,2026-07-06 07:14:35,2026-07-06 05:53:21,-4874,Jul 06 05:53:21 backup01 sshd[5744]: pam_unix(sshd:session): session closed for user j.maguire,Jul 06 07:14:35 backup01 sshd[8739]: Failed password for ops from 198.51.100.24 port 50585 ssh2
135,134,2026-07-06 07:49:56,2026-07-06 06:35:53,-4443,Jul 06 06:35:53 backup01 sshd[8411]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 07:49:56 backup01 sudo:    j.singer : TTY=pts/3 ; PWD=/home/j.singer ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2
140,139,2026-07-06 07:58:40,2026-07-06 07:57:01,-99,Jul 06 07:57:01 backup01 sudo:    j.singer : TTY=pts/4 ; PWD=/home/j.singer ; USER=root ; COMMAND=/usr/bin/apt update,Jul 06 07:58:40 backup01 CRON[3974]: pam_unix(cron:session): session opened for user root by (uid=0)
151,150,2026-07-06 08:12:56,2026-07-06 07:49:56,-1380,Jul 06 07:49:56 backup01 sshd[4723]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 08:12:56 backup01 sshd[3075]: Failed password for j.maguire from 192.0.2.10 port 59167 ssh2
158,157,2026-07-06 08:18:14,2026-07-06 07:09:25,-4129,Jul 06 07:09:25 backup01 sshd[5781]: pam_unix(sshd:session): session closed for user ops,Jul 06 08:18:14 backup01 sshd[2285]: pam_unix(sshd:session): session opened for user ops by (uid=0)
179,178,2026-07-06 08:35:32,2026-07-06 07:27:59,-4053,Jul 06 07:27:59 backup01 sshd[9530]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 08:35:32 backup01 CRON[4852]: pam_unix(cron:session): session opened for user root by (uid=0)
187,186,2026-07-06 08:43:13,2026-07-06 08:41:37,-96,Jul 06 08:41:37 backup01 sudo:    arun : TTY=pts/0 ; PWD=/home/arun ; USER=root ; COMMAND=/usr/bin/journalctl -n 50,Jul 06 08:43:13 backup01 sshd[7522]: Accepted password for backup from 192.0.2.12 port 63245 ssh2
189,188,2026-07-06 08:43:23,2026-07-06 08:43:13,-10,Jul 06 08:43:13 backup01 sshd[4217]: pam_unix(sshd:session): session opened for user backup by (uid=0),Jul 06 08:43:23 backup01 sshd[6861]: Accepted password for arun from 192.0.2.21 port 37952 ssh2
192,191,2026-07-06 08:45:01,2026-07-06 08:44:46,-15,Jul 06 08:44:46 backup01 sshd[7333]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 06 08:45:01 backup01 sshd[6389]: Accepted password for j.singer from 192.0.2.12 port 30485 ssh2
201,200,2026-07-06 08:49:10,2026-07-06 08:47:52,-78,Jul 06 08:47:52 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,Jul 06 08:49:10 backup01 sshd[5433]: Accepted password for arun from 192.0.2.20 port 60090 ssh2
211,210,2026-07-06 08:59:35,2026-07-06 08:44:46,-889,Jul 06 08:44:46 backup01 sshd[6861]: pam_unix(sshd:session): session closed for user ops,Jul 06 08:59:35 backup01 sshd[1795]: Accepted password for arun from 198.51.100.26 port 42572 ssh2
213,212,2026-07-06 08:59:47,2026-07-06 08:59:35,-12,Jul 06 08:59:35 backup01 sshd[3759]: pam_unix(sshd:session): session opened for user arun by (uid=0),Jul 06 08:59:47 backup01 sshd[1721]: Connection closed by authenticating user j.maguire 192.0.2.40 port 46796 [preauth]
216,215,2026-07-06 09:02:21,2026-07-06 08:51:10,-671,Jul 06 08:51:10 backup01 sshd[6651]: pam_unix(sshd:session): session closed for user backup,Jul 06 09:02:21 backup01 sshd[9561]: Connection closed by authenticating user j.maguire 192.0.2.10 port 32607 [preauth]
223,222,2026-07-06 09:06:59,2026-07-06 09:06:44,-15,Jul 06 09:06:44 backup01 sshd[5621]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 06 09:06:59 backup01 sshd[6074]: Invalid user mysql from 192.0.2.30 port 36568
225,224,2026-07-06 09:07:10,2026-07-06 09:06:33,-37,Jul 06 09:06:33 backup01 sudo:    backup : TTY=pts/3 ; PWD=/home/backup ; USER=root ; COMMAND=/usr/bin/apt update,Jul 06 09:07:10 backup01 sshd[2336]: Accepted password for ops from 198.51.100.23 port 43300 ssh2
227,226,2026-07-06 09:08:02,2026-07-06 08:05:29,-3753,Jul 06 08:05:29 backup01 sshd[2561]: pam_unix(sshd:session): session closed for user arun,Jul 06 09:08:02 backup01 CRON[5691]: pam_unix(cron:session): session opened for user root by (uid=0)
230,229,2026-07-06 09:10:05,2026-07-06 07:57:01,-4384,Jul 06 07:57:01 backup01 sshd[1593]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 09:10:05 backup01 sshd[5347]: Failed password for backup from 192.0.2.10 port 42295 ssh2
239,238,2026-07-06 09:14:58,2026-07-06 08:18:14,-3404,Jul 06 08:18:14 backup01 sshd[3153]: pam_unix(sshd:session): session closed for user ops,Jul 06 09:14:58 backup01 sshd[1242]: Connection closed by authenticating user backup 192.0.2.20 port 56162 [preauth]
254,253,2026-07-06 09:30:19,2026-07-06 09:30:12,-7,Jul 06 09:30:12 backup01 sshd[6053]: pam_unix(sshd:session): session opened for user ops by (uid=0),Jul 06 09:30:19 backup01 sshd[4929]: Failed password for ops from 198.51.100.23 port 34659 ssh2
255,254,2026-07-06 09:30:12,2026-07-06 09:06:33,-1419,Jul 06 09:06:33 backup01 sshd[6241]: pam_unix(sshd:session): session closed for user backup,Jul 06 09:30:12 backup01 sshd[6053]: pam_unix(sshd:session): session opened for user ops by (uid=0)
257,256,2026-07-06 09:31:08,2026-07-06 08:17:08,-4440,Jul 06 08:17:08 backup01 sshd[2640]: pam_unix(sshd:session): session closed for user ops,Jul 06 09:31:08 backup01 sshd[2753]: Failed password for j.singer from 192.0.2.30 port 38105 ssh2
261,260,2026-07-06 09:37:44,2026-07-06 08:20:18,-4646,Jul 06 08:20:18 backup01 sshd[4167]: pam_unix(sshd:session): session closed for user backup,Jul 06 09:37:44 backup01 sshd[2625]: Connection closed by authenticating user j.maguire 192.0.2.12 port 30478 [preauth]
263,262,2026-07-06 09:38:46,2026-07-06 08:59:35,-2351,Jul 06 08:59:35 backup01 sshd[5145]: pam_unix(sshd:session): session closed for user arun,Jul 06 09:38:46 backup01 CRON[4154]: pam_unix(cron:session): session opened for user root by (uid=0)
264,263,2026-07-06 08:59:35,2026-07-06 08:20:03,-2372,Jul 06 08:20:03 backup01 sshd[5615]: pam_unix(sshd:session): session closed for user arun,Jul 06 08:59:35 backup01 sshd[5145]: pam_unix(sshd:session): session closed for user arun
271,270,2026-07-06 09:44:18,2026-07-06 08:43:13,-3665,Jul 06 08:43:13 backup01 sshd[7073]: pam_unix(sshd:session): session closed for user backup,Jul 06 09:44:18 backup01 sshd[1683]: pam_unix(sshd:session): session opened for user backup by (uid=0)
276,275,2026-07-06 09:47:36,2026-07-06 08:41:37,-3959,Jul 06 08:41:37 backup01 sshd[9752]: pam_unix(sshd:session): session closed for user arun,Jul 06 09:47:36 backup01 sshd[7818]: Connection closed by authenticating user j.maguire 198.51.100.26 port 45319 [preauth]
284,283,2026-07-06 09:53:45,2026-07-06 09:53:25,-20,Jul 06 09:53:25 backup01 sudo:    ops : TTY=pts/0 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,Jul 06 09:53:45 backup01 sshd[6939]: Connection closed by authenticating user arun 198.51.100.23 port 52137 [preauth]
290,289,2026-07-06 10:03:25,2026-07-06 08:45:01,-4704,Jul 06 08:45:01 backup01 sshd[1822]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 10:03:25 backup01 sshd[9478]: Failed password for j.singer from 198.51.100.25 port 64708 ssh2
292,291,2026-07-06 10:04:37,2026-07-06 08:47:52,-4605,Jul 06 08:47:52 backup01 sshd[5567]: pam_unix(sshd:session): session closed for user ops,Jul 06 10:04:37 backup01 sshd[1285]: Invalid user admin from 192.0.2.11 port 54915
303,302,2026-07-06 10:18:38,2026-07-06 10:17:24,-74,Jul 06 10:17:24 backup01 sudo:    j.singer : TTY=pts/4 ; PWD=/home/j.singer ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,Jul 06 10:18:38 backup01 sshd[5371]: Invalid user git from 198.51.100.24 port 43718
304,303,2026-07-06 10:17:24,2026-07-06 10:09:20,-484,Jul 06 10:09:20 backup01 sshd[4344]: pam_unix(sshd:session): session closed for user backup,Jul 06 10:17:24 backup01 sudo:    j.singer : TTY=pts/4 ; PWD=/home/j.singer ; USER=root ; COMMAND=/usr/bin/systemctl status ssh
309,308,2026-07-06 10:21:14,2026-07-06 09:06:44,-4470,Jul 06 09:06:44 backup01 sshd[5855]: pam_unix(sshd:session): session closed for user ops,Jul 06 10:21:14 backup01 sshd[1861]: Accepted password for j.maguire from 192.0.2.31 port 58084 ssh2
321,320,2026-07-06 10:29:59,2026-07-06 10:29:56,-3,Jul 06 10:29:56 backup01 sshd[7396]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0),Jul 06 10:29:59 backup01 sshd[7055]: Invalid user postgres from 198.51.100.23 port 38417
322,321,2026-07-06 10:29:56,2026-07-06 09:44:18,-2738,Jul 06 09:44:18 backup01 sshd[9521]: pam_unix(sshd:session): session closed for user backup,Jul 06 10:29:56 backup01 sshd[7396]: pam_unix(sshd:session): session opened for user j.maguire by (uid=0)
325,324,2026-07-06 10:30:32,2026-07-06 10:29:56,-36,Jul 06 10:29:56 backup01 sshd[5405]: pam_unix(sshd:session): session closed for user j.maguire,Jul 06 10:30:32 backup01 sshd[3644]: pam_unix(sshd:session): session opened for user j.singer by (uid=0)
334,333,2026-07-06 10:37:15,2026-07-06 10:36:00,-75,Jul 06 10:36:00 backup01 sudo:    arun : TTY=pts/4 ; PWD=/home/arun ; USER=root ; COMMAND=/usr/bin/systemctl status ssh,Jul 06 10:37:15 backup01 sshd[3583]: Connection closed by authenticating user j.maguire 198.51.100.23 port 35719 [preauth]
344,343,2026-07-06 10:40:27,2026-07-06 10:39:13,-74,Jul 06 10:39:13 backup01 sudo:    ops : TTY=pts/4 ; PWD=/home/ops ; USER=root ; COMMAND=/usr/bin/du -sh /var/log,Jul 06 10:40:27 backup01 sshd[6202]: Accepted password for arun from 192.0.2.11 port 48661 ssh2
346,345,2026-07-06 10:44:08,2026-07-06 10:20:27,-1421,Jul 06 10:20:27 backup01 sshd[4192]: pam_unix(sshd:session): session closed for user backup,Jul 06 10:44:08 backup01 sshd[8958]: Invalid user admin from 198.51.100.24 port 50826
357,356,2026-07-06 10:52:38,2026-07-06 09:30:12,-4946,Jul 06 09:30:12 backup01 sshd[1274]: pam_unix(sshd:session): session closed for user ops,Jul 06 10:52:38 backup01 sshd[5972]: Failed password for backup from 192.0.2.11 port 49205 ssh2
360,359,2026-07-06 10:59:01,2026-07-06 09:53:25,-3936,Jul 06 09:53:25 backup01 sshd[8859]: pam_unix(sshd:session): session closed for user ops,Jul 06 10:59:01 backup01 sshd[8047]: Failed password for arun from 192.0.2.40 port 54568 ssh2
365,364,2026-07-06 11:02:37,2026-07-06 10:34:33,-1684,Jul 06 10:34:33 backup01 sshd[7600]: pam_unix(sshd:session): session closed for user backup,Jul 06 11:02:37 backup01 sshd[4726]: Invalid user postgres from 192.0.2.30 port 56534
369,368,2026-07-06 11:05:28,2026-07-06 10:17:24,-2884,Jul 06 10:17:24 backup01 sshd[6891]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 11:05:28 backup01 CRON[8960]: pam_unix(cron:session): session opened for user root by (uid=0)
381,380,2026-07-06 11:13:39,2026-07-06 11:08:25,-314,Jul 06 11:08:25 backup01 sshd[2034]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 11:13:39 backup01 CRON[7294]: pam_unix(cron:session): session opened for user root by (uid=0)
395,394,2026-07-06 11:23:40,2026-07-06 10:48:56,-2084,Jul 06 10:48:56 backup01 sshd[7413]: pam_unix(sshd:session): session closed for user backup,Jul 06 11:23:40 backup01 sshd[4547]: error: maximum authentication attempts exceeded for j.maguire from 192.0.2.10 port 64051 ssh2 [preauth]
399,398,2026-07-06 11:28:45,2026-07-06 10:30:32,-3493,Jul 06 10:30:32 backup01 sshd[2962]: pam_unix(sshd:session): session closed for user j.singer,Jul 06 11:28:45 backup01 sshd[3604]: Invalid user ubuntu from 192.0.2.20 port 44930
404,403,2026-07-06 11:30:32,2026-07-06 10:23:14,-4038,Jul 06 10:23:14 backup01 sshd[3301]: pam_unix(sshd:session): session closed for user arun,Jul 06 11:30:32 backup01 sshd[9383]: Failed password for backup from 198.51.100.23 port 37951 ssh2
