username,failed_password_count,invalid_user_count,max_auth_attempts_count,accepted_password_count,sudo_command_count,total_events
backup,1552,0,145,390,60,2762
root,1048,0,51,0,0,1465
admin,589,47,27,0,0,663
deploy,366,0,18,0,0,384
postgres,336,49,16,0,0,401
oracle,331,36,17,0,0,384
j.singer,259,0,98,357,48,1309
j.maguire,239,0,101,364,35,1287
ops,237,0,70,391,62,1354
arun,219,0,97,357,50,1292
sysadmin,0,55,0,0,0,55
ubuntu,0,52,0,0,0,52
service,0,51,0,0,0,51
manager,0,47,0,0,0,47
pi,0,45,0,0,0,45
temp,0,44,0,0,0,44
test,0,44,0,0,0,44
guest,0,42,0,0,0,42
mysql,0,42,0,0,0,42
support,0,40,0,0,0,40
user,0,34,0,0,0,34
demo,0,31,0,0,0,31
ftp,0,31,0,0,0,31
git,0,31,0,0,0,31
administrator,0,30,0,0,0,30
